variable,group,value
Satisfaction,Satisfaction,1
Satisfaction,Project,0.476799377978315
Satisfaction,Leader,0.325074118705178
Satisfaction,Growth,0.221961576963907
Satisfaction,D&I,0.515068949033029
Satisfaction,Communication,0.199175249618319
Satisfaction,Satisfaction,0.791310651600031
Project,Project,1
Project,Leader,0.725159112134286
Project,Growth,0.630458435004977
Project,D&I,0.271849714441527
Project,Communication,0.589009201509516
Leader,Leader,1
Leader,Growth,0.237511832860504
Leader,D&I,0.39559193375875
Leader,Communication,0.12055094930561
Growth,Growth,1
Growth,D&I,0.711722489852116
Growth,Communication,0.973236952616747
D&I,D&I,1
D&I,Communication,0.400733547329864
Communication,Communication,1