group,variable,value
Satisfaction,Satisfaction,1
Project,Satisfaction,0.476799377978315
Leader,Satisfaction,0.325074118705178
Growth,Satisfaction,0.221961576963907
D&I,Satisfaction,0.515068949033029
Communication,Satisfaction,0.199175249618319
Satisfaction,Satisfaction,0.791310651600031
Project,Project,1
Leader,Project,0.725159112134286
Growth,Project,0.630458435004977
D&I,Project,0.271849714441527
Communication,Project,0.589009201509516
Leader,Leader,1
Growth,Leader,0.237511832860504
D&I,Leader,0.39559193375875
Communication,Leader,0.12055094930561
Growth,Growth,1
D&I,Growth,0.711722489852116
Communication,Growth,0.973236952616747
D&I,D&I,1
Communication,D&I,0.400733547329864
Communication,Communication,1